nodes,tasks_per_node,total_tasks,problem_size,run_id,time_s,jobid,out_file
4,2,8,4000,1,0.269050,62594,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_2t_4000_62594.out
4,2,8,4000,2,0.264287,62595,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_2t_4000_62595.out
4,2,8,4000,3,0.269084,62596,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_2t_4000_62596.out
4,4,16,4000,1,0.132967,62597,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_4t_4000_62597.out
4,4,16,4000,2,0.136350,62598,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_4t_4000_62598.out
4,4,16,4000,3,0.137377,62599,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_4t_4000_62599.out
4,8,32,4000,1,0.067528,62600,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_8t_4000_62600.out
4,8,32,4000,2,0.067474,62601,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_8t_4000_62601.out
4,8,32,4000,3,0.067372,62602,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_8t_4000_62602.out
1,1,1,16000,1,20.417798,62603,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_1t_16000_62603.out
1,1,1,16000,2,20.462118,62605,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_1t_16000_62605.out
1,1,1,16000,3,20.412100,62607,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_1t_16000_62607.out
1,2,2,16000,1,18.053089,62608,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_2t_16000_62608.out
1,2,2,16000,2,18.062721,62609,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_2t_16000_62609.out
1,2,2,16000,3,18.057020,62610,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_2t_16000_62610.out
1,4,4,16000,1,9.001067,62612,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_4t_16000_62612.out
1,4,4,16000,2,8.993149,62613,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_4t_16000_62613.out
1,4,4,16000,3,9.004229,62614,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_1n_4t_16000_62614.out
4,2,8,16000,1,4.327280,62615,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_2t_16000_62615.out
4,2,8,16000,2,4.451560,62617,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_2t_16000_62617.out
4,2,8,16000,3,4.442207,62619,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_2t_16000_62619.out
4,4,16,16000,1,2.223281,62620,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_4t_16000_62620.out
4,4,16,16000,2,2.225130,62621,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_4t_16000_62621.out
4,4,16,16000,3,2.262649,62622,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_4t_16000_62622.out
4,8,32,16000,1,1.120482,62623,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_8t_16000_62623.out
4,8,32,16000,2,1.111923,62628,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_8t_16000_62628.out
4,8,32,16000,3,1.124595,62629,/uac/msc/whuang25/cmsc5702/SOBEL_MPI_4n_8t_16000_62629.out
